PId,MobilityAid,ImageSet,ImageID,ImageType,Selection
115,Walking cane,6,5518,SurfaceProblem,Yes
115,Walking cane,6,7061,SurfaceProblem,Yes
115,Walking cane,6,669,SurfaceProblem,Yes
115,Walking cane,7,16482,CurbRamp,Yes
115,Walking cane,7,46135,CurbRamp,Yes
115,Walking cane,7,258182,CurbRamp,No
115,Walking cane,7,3047,CurbRamp,Yes
115,Walking cane,7,2377,CurbRamp,Yes
115,Walking cane,7,44798,CurbRamp,Yes
115,Walking cane,8,156512,NoCurbRamp,Yes
115,Walking cane,8,175408,NoCurbRamp,Yes
115,Walking cane,8,168483,NoCurbRamp,Yes
115,Walking cane,8,176648,NoCurbRamp,Yes
115,Walking cane,8,145241,NoCurbRamp,Yes
115,Walking cane,8,141806,NoCurbRamp,Yes
117,Walker,0,46864,Obstacle,No
117,Walker,0,264820,Obstacle,No
117,Walker,0,997,Obstacle,No
117,Walker,0,191782,Obstacle,No
117,Walker,0,12344,Obstacle,No
117,Walker,0,15148,Obstacle,No
117,Walker,1,229205,Obstacle,No
117,Walker,1,7558,Obstacle,No
117,Walker,1,3850,Obstacle,Yes
117,Walker,1,191179,Obstacle,Yes
117,Walker,1,4765,Obstacle,No
117,Walker,1,12830,Obstacle,No
117,Walker,2,208754,Obstacle,No
117,Walker,2,139731,Obstacle,No
117,Walker,2,36038,Obstacle,Yes
117,Walker,2,3430,Obstacle,No
117,Walker,2,100492,Obstacle,No
117,Walker,2,197213,Obstacle,No
117,Walker,3,562,SurfaceProblem,Yes
117,Walker,3,5941,SurfaceProblem,Yes
117,Walker,3,11350,SurfaceProblem,Yes
117,Walker,3,2022,SurfaceProblem,No
117,Walker,3,11707,SurfaceProblem,Yes
117,Walker,3,209069,SurfaceProblem,Yes
117,Walker,4,2080,SurfaceProblem,No
117,Walker,4,262,SurfaceProblem,Yes
117,Walker,4,3128,SurfaceProblem,Yes
117,Walker,4,26619,SurfaceProblem,No
117,Walker,4,39245,SurfaceProblem,No
